Student_ID,Age,Gender,Year_of_Study,Average_Screen_Time_per_Day,Main_Purpose_of_Use,Number_of_Social_Media_Apps,Daily_Social_Media_Usage_Hours,Mobile_Usage_Before_Sleep,Sleep_Hours_Per_Night,Academic_Performance_CGPA,Anxiety_Level,Stress_Level,Participation_in_Physical_Activities,Feelings_of_Loneliness,Family_Background,Hostel_or_Day_Scholar,Has_Smartphone_Since,Expenditure_on_Mobile_Per_Month,Attempts_to_Reduce_Usage,Self_Reported_Addiction_Level,Favorite_App,Average_YouTube_Watch_Time_Per_Day,Gaming_Hours_Per_Week,TikTok_Reels_Usage_Hours_Per_Day,Daily_Number_of_Mobile_Unlocks,Notifications_Received_Per_Day,FOMO_Level,Self_Control_Rating_Out_of_10,Parental_Restrictions,Previous_Attempts_to_Quit_Social_Media,Mindfulness_Practice,Physical_Exercise_Hours_Per_Week,Relationship_Status,Part_Time_Job,Average_Data_Consumption_Per_Day_GB,Preferred_Screen_Brightness_Percentage,Preferred_Device_Brand,Peer_Pressure_Experience,Depression_Symptoms,Hours_Spent_on_Online_Shopping_Per_Week,Involvement_in_Student_Organizations,Daily_Whatsapp_Messages_Sent,Screen_Time_on_Weekends,Screen_Time_on_Weekdays,Usage_of_Productivity_Apps,Time_Spent_on_Educational_Content_Per_Week,Average_Battery_Consumption_Per_Day_Percentage,Participates_in_Digital_Detox_Camps,Uses_Screen_Time_Management_Apps
S0191,24,Other,2nd,8.2,Study,6,3.6,26,6.8,9.3,High,High,Yes,Often,Rural,Hostel,5,688,No,Mild,Facebook,1.2,2.1,1.3,55,294,Low,5.7,Yes,Yes,No,2.5,Complicated,Yes,4.08,65,OnePlus,Often,Severe,1.4,Yes,124,6.8,7.8,Yes,6.2,36,No,Yes
S0192,20,Male,4th,5.3,Study,3,1.1,78,7.5,5.55,Moderate,Moderate,Yes,Often,Rural,Hostel,5,598,No,None,YouTube,0.7,4.5,0.4,42,261,Moderate,2.7,Yes,No,No,0.2,Single,No,1.43,52,Apple,Always,Severe,2.6,No,91,3.6,5.8,Yes,2.3,73,Yes,Yes
S0193,18,Male,2nd,7.0,Gaming,2,4.3,67,5.7,9.74,Low,Moderate,No,Often,Rural,Hostel,2,1341,No,Severe,Snapchat,3.1,5.8,1.1,137,149,Moderate,7.2,Yes,No,No,2.2,Complicated,No,1.92,29,OnePlus,Never,Moderate,3.3,No,205,7.8,5.7,Yes,6.2,84,Yes,Yes
S0194,24,Female,3rd,8.2,Entertainment,8,3.2,66,6.5,7.12,High,Moderate,No,Sometimes,Urban,Day Scholar,4,666,No,Mild,WhatsApp,1.4,4.1,1.7,67,238,Low,9.1,Yes,No,Yes,2.9,In a Relationship,Yes,1.03,77,Xiaomi,Never,Severe,1.9,Yes,189,5.7,4.8,No,0.8,68,Yes,Yes
S0195,24,Male,2nd,6.2,Study,8,4.6,71,5.1,5.05,Low,Low,Yes,Never,Rural,Hostel,4,666,Yes,Moderate,WhatsApp,1.3,4.1,1.3,51,280,Low,2.5,Yes,No,No,4.2,In a Relationship,No,4.87,44,Xiaomi,Never,Mild,1.3,No,361,4.9,5.8,No,4.9,88,No,No
S0196,19,Male,1st,4.7,Study,8,1.9,104,7.2,7.21,Low,Low,No,Never,Urban,Day Scholar,6,1252,No,None,WhatsApp,1.6,6.3,1.0,114,114,Moderate,1.8,Yes,No,No,3.0,Single,No,3.37,93,Other,Always,Severe,1.0,Yes,184,6.5,2.2,No,5.7,34,Yes,Yes
S0197,19,Other,3rd,5.7,Study,2,2.6,61,7.0,5.23,Low,Moderate,Yes,Never,Urban,Day Scholar,7,1003,Yes,None,Snapchat,1.4,9.6,1.3,58,200,High,7.6,No,Yes,Yes,3.9,Complicated,No,3.88,58,Other,Often,Moderate,0.3,Yes,207,6.1,5.3,Yes,5.5,71,No,No
S0198,21,Male,4th,7.5,Gaming,9,0.6,70,7.0,7.72,High,Low,Yes,Often,Rural,Hostel,2,482,No,None,Telegram,1.6,7.3,1.2,74,272,Low,3.5,Yes,No,Yes,0.5,In a Relationship,No,3.61,35,Xiaomi,Always,Severe,1.6,No,35,7.6,5.9,Yes,3.8,43,Yes,No
S0199,22,Other,1st,6.3,Entertainment,8,2.2,49,6.5,6.69,Moderate,Low,Yes,Sometimes,Urban,Hostel,6,1511,Yes,Severe,Instagram,2.1,9.4,1.4,75,177,Moderate,6.6,Yes,No,No,1.5,Single,Yes,1.58,79,Apple,Always,Severe,1.7,No,463,10.8,4.8,No,5.0,56,Yes,Yes
S0200,20,Other,1st,4.2,Entertainment,8,2.8,47,6.9,7.37,High,Moderate,No,Never,Urban,Day Scholar,2,184,Yes,Severe,Snapchat,1.4,1.9,-0.0,68,297,High,7.3,Yes,Yes,Yes,2.6,In a Relationship,No,3.38,47,Other,Always,None,2.0,No,108,9.6,5.0,Yes,3.9,45,No,No
S0201,24,Other,4th,6.9,Entertainment,6,1.0,52,8.1,8.07,Moderate,Low,No,Never,Rural,Hostel,4,1633,Yes,Mild,WhatsApp,0.9,6.0,0.2,98,100,Moderate,3.9,Yes,Yes,No,3.7,Single,No,1.53,95,OnePlus,Always,None,2.5,Yes,242,4.6,5.6,Yes,0.9,31,Yes,No
S0202,25,Female,4th,7.2,Entertainment,7,2.6,72,6.2,9.34,High,High,Yes,Sometimes,Urban,Hostel,2,1849,No,Mild,WhatsApp,1.4,5.5,1.5,107,240,Low,8.3,Yes,Yes,No,1.8,In a Relationship,Yes,2.6,63,Xiaomi,Always,Mild,1.5,No,436,10.1,6.0,Yes,3.8,48,Yes,Yes
S0203,24,Female,2nd,5.5,Social Media,7,1.0,28,6.6,8.31,High,Low,Yes,Often,Urban,Day Scholar,2,726,No,Mild,WhatsApp,1.3,6.1,0.2,111,276,Moderate,5.9,No,Yes,Yes,1.9,Complicated,No,3.28,77,Samsung,Often,Severe,3.8,No,462,7.1,7.3,No,0.8,52,No,Yes
S0204,18,Female,3rd,6.9,Social Media,5,2.7,109,5.4,7.17,High,Low,No,Often,Rural,Day Scholar,2,1560,Yes,Mild,Telegram,2.2,9.1,1.2,97,293,Moderate,8.8,No,No,No,3.0,In a Relationship,Yes,3.24,51,Apple,Rarely,Mild,0.9,No,200,1.9,6.6,Yes,0.5,70,Yes,No
S0205,21,Other,4th,6.4,Entertainment,5,4.1,59,5.6,9.1,Moderate,Moderate,Yes,Never,Urban,Day Scholar,9,925,Yes,Moderate,YouTube,2.1,4.3,0.8,126,288,Moderate,7.9,Yes,Yes,No,0.3,In a Relationship,No,1.48,82,Apple,Never,Severe,2.7,No,471,6.5,7.3,Yes,3.6,43,Yes,Yes
S0206,22,Female,4th,5.7,Gaming,8,3.0,42,6.6,9.53,High,Moderate,No,Never,Urban,Day Scholar,3,392,Yes,Severe,Instagram,1.6,3.8,0.5,68,286,Low,8.8,No,No,No,4.4,Single,Yes,1.14,64,Xiaomi,Always,Mild,0.8,Yes,75,3.9,6.9,Yes,1.8,76,Yes,No
S0207,25,Female,3rd,4.1,Social Media,6,4.7,22,7.6,5.6,Low,High,Yes,Sometimes,Rural,Day Scholar,3,1172,Yes,None,Snapchat,0.9,6.6,1.2,49,71,High,1.2,Yes,Yes,Yes,0.7,Single,No,4.19,72,Samsung,Always,Mild,1.1,No,255,6.1,6.2,No,6.2,92,No,Yes
S0208,21,Male,4th,7.6,Study,8,3.8,87,6.2,7.66,High,Low,Yes,Never,Urban,Day Scholar,7,1190,Yes,Moderate,WhatsApp,0.9,0.0,1.1,106,159,High,3.2,No,Yes,Yes,0.0,Single,No,3.9,80,Apple,Always,Severe,2.3,Yes,113,10.8,9.3,Yes,6.4,37,No,Yes
S0209,23,Female,4th,7.1,Social Media,5,4.3,106,6.3,6.42,Low,High,No,Sometimes,Rural,Hostel,7,886,No,Mild,Facebook,1.5,4.3,2.1,129,120,High,1.8,No,No,Yes,2.0,In a Relationship,Yes,1.33,69,Other,Never,None,3.0,No,200,4.4,4.9,No,8.5,56,Yes,No
S0210,22,Female,2nd,6.9,Study,2,2.2,71,6.1,5.24,Moderate,High,No,Never,Urban,Hostel,8,228,Yes,Mild,Instagram,1.7,4.6,0.7,138,82,High,5.0,Yes,Yes,Yes,4.5,Single,Yes,1.51,46,Samsung,Often,Moderate,1.7,No,150,4.3,4.6,Yes,0.3,69,Yes,Yes
S0211,24,Other,1st,8.3,Entertainment,2,2.2,102,6.0,8.34,Moderate,Moderate,No,Never,Urban,Hostel,4,128,No,Moderate,Facebook,1.3,2.2,1.7,97,176,Low,9.0,Yes,Yes,No,2.9,Complicated,Yes,4.57,45,OnePlus,Never,Mild,2.1,No,188,6.8,5.8,Yes,0.7,57,No,Yes
S0212,24,Other,1st,7.4,Social Media,9,3.3,52,6.8,9.31,High,Low,No,Never,Rural,Day Scholar,2,1466,No,None,Instagram,1.3,8.2,1.2,64,158,Moderate,5.2,Yes,No,Yes,3.1,Single,Yes,4.08,22,Other,Often,Moderate,3.3,Yes,270,5.4,5.9,No,4.7,97,No,Yes
S0213,22,Other,1st,7.0,Gaming,3,1.4,58,5.0,5.81,High,Moderate,No,Often,Rural,Day Scholar,4,1668,No,Severe,WhatsApp,1.2,1.8,0.7,37,149,High,8.6,No,Yes,No,2.1,Single,Yes,4.98,58,Samsung,Rarely,Severe,0.8,No,184,6.5,6.2,No,2.4,90,No,No
S0214,24,Other,1st,2.7,Social Media,7,3.5,45,7.8,9.06,High,High,Yes,Sometimes,Urban,Hostel,3,1242,Yes,Severe,Instagram,1.5,4.6,1.4,81,93,High,3.9,No,Yes,Yes,1.8,Complicated,No,2.02,84,Xiaomi,Always,Mild,2.8,No,429,7.2,4.6,No,1.6,67,Yes,No
S0215,20,Other,4th,7.8,Social Media,6,2.7,117,5.8,9.27,Low,High,Yes,Sometimes,Rural,Hostel,9,791,Yes,None,Instagram,0.3,5.9,1.3,69,56,Low,4.1,Yes,Yes,Yes,0.0,Single,Yes,2.95,54,Apple,Often,Severe,1.3,No,173,4.0,8.9,Yes,2.2,53,Yes,Yes
S0216,22,Other,3rd,6.1,Social Media,4,4.3,19,7.2,9.57,Moderate,Moderate,No,Often,Urban,Hostel,2,1786,Yes,Severe,WhatsApp,0.9,9.1,1.0,142,177,Moderate,9.1,Yes,No,No,0.0,Single,No,1.95,72,Other,Never,Mild,2.2,Yes,443,7.5,5.5,No,2.9,57,No,No
S0217,21,Female,3rd,6.5,Entertainment,7,3.7,104,5.2,6.33,Low,Moderate,No,Often,Rural,Day Scholar,6,232,Yes,Mild,Telegram,1.2,5.0,1.1,140,140,Moderate,4.8,No,No,Yes,2.3,In a Relationship,Yes,3.49,65,Xiaomi,Often,None,2.5,No,449,5.5,4.6,No,4.3,70,No,No
S0218,22,Other,2nd,6.5,Gaming,4,4.1,15,7.2,9.52,Low,Moderate,Yes,Often,Urban,Hostel,3,1450,No,Mild,Facebook,2.1,7.8,0.7,65,179,High,8.1,Yes,No,Yes,4.0,In a Relationship,Yes,1.46,87,Samsung,Often,Mild,0.8,No,28,9.1,6.4,No,0.0,47,Yes,No
S0219,25,Other,2nd,7.2,Social Media,3,2.2,66,7.2,6.6,High,Moderate,Yes,Sometimes,Urban,Hostel,3,1308,No,Mild,Telegram,1.1,7.1,0.6,35,66,High,3.1,No,No,No,2.5,Single,No,1.51,41,OnePlus,Rarely,Mild,1.3,Yes,29,5.3,7.6,Yes,3.8,78,No,Yes
S0220,24,Male,4th,7.7,Gaming,3,4.0,10,6.9,7.76,High,Moderate,No,Never,Urban,Hostel,3,1629,No,Mild,Facebook,1.6,5.4,1.4,149,114,Moderate,9.5,No,No,Yes,2.9,Complicated,No,1.29,79,Apple,Always,Mild,2.7,Yes,415,5.6,8.4,No,2.6,55,Yes,Yes
S0221,20,Female,3rd,7.0,Entertainment,8,4.4,80,5.5,5.25,Low,High,No,Often,Urban,Day Scholar,8,745,Yes,None,YouTube,1.6,1.7,0.9,115,235,Low,6.2,Yes,Yes,No,4.4,Single,No,3.77,25,Apple,Always,Severe,1.7,Yes,296,5.1,2.4,Yes,1.4,32,No,Yes
S0222,20,Female,3rd,6.7,Study,5,3.0,67,6.7,5.22,Low,Moderate,Yes,Often,Urban,Hostel,2,788,Yes,Severe,Facebook,2.1,0.7,1.0,99,159,Moderate,7.8,No,No,Yes,2.5,Single,No,2.98,71,Other,Never,None,1.3,Yes,370,6.2,7.2,Yes,5.8,67,No,No
S0223,23,Female,1st,6.3,Social Media,3,2.3,100,5.3,8.6,High,Low,No,Often,Rural,Hostel,7,633,Yes,Severe,Facebook,2.1,5.3,1.1,135,79,Moderate,1.8,No,Yes,No,1.8,Single,Yes,3.47,92,Xiaomi,Never,Severe,2.2,No,248,4.1,8.6,Yes,2.1,43,Yes,No
S0224,21,Other,4th,1.0,Gaming,3,2.3,30,6.2,7.22,High,High,Yes,Never,Rural,Day Scholar,5,1364,Yes,Moderate,Instagram,1.5,3.4,1.1,129,263,High,5.4,No,No,Yes,0.8,In a Relationship,No,4.52,94,Samsung,Rarely,Moderate,0.9,No,455,8.0,5.1,No,2.3,30,No,Yes
S0225,19,Other,4th,5.6,Gaming,4,4.2,101,7.5,6.28,Low,High,Yes,Never,Urban,Day Scholar,6,1712,Yes,None,YouTube,1.3,7.8,0.3,102,141,Low,9.1,No,Yes,No,5.0,Complicated,Yes,3.96,92,Samsung,Often,None,0.8,Yes,53,5.9,5.7,No,2.4,40,No,Yes
S0226,19,Other,1st,4.6,Entertainment,5,5.7,89,7.3,5.95,High,Low,No,Often,Urban,Day Scholar,6,1839,Yes,Severe,WhatsApp,1.2,7.2,1.6,45,294,Low,8.9,Yes,No,Yes,2.8,Complicated,Yes,2.85,48,Xiaomi,Often,Mild,-0.4,Yes,205,8.6,4.6,No,6.1,69,Yes,Yes
S0227,22,Male,4th,7.8,Social Media,3,2.0,65,6.5,8.35,High,Low,Yes,Never,Rural,Day Scholar,4,615,No,Severe,WhatsApp,1.4,4.4,1.1,132,274,Low,1.4,No,No,No,0.6,Complicated,Yes,4.94,62,Apple,Never,Mild,2.4,Yes,204,7.1,5.2,No,3.2,33,Yes,Yes
S0228,23,Other,4th,6.9,Study,7,1.9,119,5.5,5.0,Low,High,Yes,Often,Rural,Day Scholar,2,1963,No,Moderate,Snapchat,1.3,1.5,0.9,75,203,High,3.7,Yes,Yes,Yes,0.2,In a Relationship,No,2.83,93,Xiaomi,Always,Mild,2.0,Yes,366,10.4,4.4,Yes,2.9,63,Yes,No
S0229,18,Male,2nd,5.3,Gaming,9,3.9,96,7.1,9.03,Low,Moderate,Yes,Never,Rural,Hostel,7,1059,Yes,Mild,YouTube,1.8,6.5,1.2,88,212,Low,5.0,No,Yes,Yes,3.9,In a Relationship,No,1.45,53,Samsung,Often,Moderate,2.5,No,354,6.5,7.4,No,4.8,94,Yes,Yes
S0230,22,Female,3rd,5.5,Social Media,3,2.2,29,6.5,5.4,Moderate,High,No,Sometimes,Rural,Hostel,3,264,No,Severe,Instagram,1.7,1.9,1.1,67,240,Low,2.6,Yes,Yes,Yes,0.4,Single,No,4.97,50,Xiaomi,Rarely,Moderate,3.2,Yes,58,6.3,5.8,No,0.0,85,Yes,No
S0231,23,Other,4th,5.4,Study,9,4.0,111,4.2,5.96,Low,High,Yes,Sometimes,Rural,Day Scholar,5,1026,No,Mild,Snapchat,1.8,2.7,1.4,126,124,High,7.6,No,Yes,No,4.8,In a Relationship,No,1.09,65,Apple,Never,Mild,1.8,Yes,494,8.2,1.5,Yes,3.4,39,No,Yes
S0232,21,Male,2nd,5.4,Gaming,5,3.5,63,7.3,6.93,High,Low,No,Never,Urban,Day Scholar,2,1032,No,Moderate,Snapchat,2.1,2.1,1.3,47,248,Moderate,2.7,No,No,No,0.0,Single,No,3.2,23,Other,Often,Mild,1.9,No,68,2.8,5.1,No,3.4,93,No,Yes
S0233,21,Male,3rd,3.8,Gaming,8,3.0,34,6.5,7.42,Low,High,Yes,Sometimes,Urban,Day Scholar,2,1763,No,Severe,WhatsApp,2.4,4.6,1.4,41,205,Low,4.1,Yes,Yes,Yes,4.1,In a Relationship,No,2.24,21,Apple,Always,Moderate,2.3,No,141,6.0,5.0,Yes,4.7,42,Yes,No
S0234,21,Other,1st,3.5,Study,6,3.4,37,7.7,6.77,Low,Moderate,Yes,Sometimes,Rural,Day Scholar,8,656,Yes,Mild,Facebook,1.6,8.5,1.7,83,202,Moderate,7.0,No,Yes,Yes,2.7,Single,Yes,3.01,24,OnePlus,Always,Severe,1.4,Yes,382,6.8,7.3,Yes,3.6,51,Yes,Yes
S0235,21,Female,2nd,6.0,Study,5,3.4,14,5.4,6.6,Low,Low,Yes,Sometimes,Rural,Hostel,7,1341,No,None,Instagram,2.0,5.0,1.4,120,238,Low,5.3,Yes,No,Yes,2.2,In a Relationship,No,3.23,65,OnePlus,Rarely,None,0.5,Yes,176,8.4,5.9,No,0.7,85,No,Yes
S0236,21,Female,2nd,7.6,Entertainment,4,2.8,30,3.3,9.82,Moderate,High,Yes,Often,Rural,Hostel,5,1870,Yes,Mild,YouTube,1.3,3.7,0.9,76,154,Moderate,7.6,No,Yes,Yes,1.7,Complicated,Yes,1.96,98,Xiaomi,Rarely,None,0.8,Yes,144,8.9,5.9,Yes,0.0,94,Yes,No
S0237,23,Female,3rd,5.2,Social Media,6,1.2,27,6.8,8.21,Moderate,High,Yes,Never,Rural,Day Scholar,3,1771,Yes,Mild,Snapchat,2.1,0.4,0.4,30,80,Moderate,9.7,Yes,Yes,Yes,4.8,Single,Yes,3.23,38,Apple,Never,Moderate,2.0,No,464,9.2,7.0,Yes,4.3,42,Yes,No
S0238,23,Male,1st,6.5,Social Media,7,3.2,56,6.8,5.12,High,Moderate,No,Never,Rural,Day Scholar,2,779,No,Mild,Instagram,2.0,6.7,1.8,44,231,High,2.0,Yes,Yes,Yes,3.1,In a Relationship,No,4.02,57,Apple,Never,Moderate,3.0,No,442,6.4,7.6,Yes,2.0,30,Yes,Yes
S0239,20,Male,2nd,7.1,Entertainment,2,4.6,79,4.8,7.15,Moderate,High,No,Never,Rural,Day Scholar,6,1092,Yes,Mild,WhatsApp,2.0,2.7,0.9,140,244,High,7.4,No,No,Yes,0.6,In a Relationship,No,2.07,78,Samsung,Always,Severe,3.6,No,98,5.5,6.4,No,2.3,67,No,No
S0240,25,Male,4th,4.5,Gaming,9,1.4,66,5.5,9.38,Low,High,Yes,Sometimes,Rural,Day Scholar,9,1872,No,None,Snapchat,1.5,5.4,0.8,120,146,Low,3.1,No,Yes,Yes,0.0,Single,No,2.53,98,Other,Always,Mild,1.7,Yes,280,7.1,5.0,No,1.3,87,Yes,No
S0241,19,Male,4th,6.0,Study,9,2.0,102,9.3,6.51,Moderate,High,No,Often,Rural,Hostel,6,1728,Yes,Moderate,Snapchat,1.2,3.9,0.1,109,100,Low,4.7,No,No,Yes,2.3,In a Relationship,No,2.07,91,Apple,Often,Moderate,2.2,Yes,272,6.5,3.7,No,3.0,54,No,Yes
S0242,24,Female,4th,5.0,Study,9,3.4,28,6.2,5.47,Low,High,No,Never,Rural,Day Scholar,5,1128,Yes,Mild,Telegram,0.8,7.5,1.2,50,107,High,1.3,No,Yes,Yes,2.0,Complicated,Yes,4.28,39,Xiaomi,Often,Severe,3.9,No,440,3.7,8.2,Yes,2.9,71,No,Yes
S0243,21,Other,1st,8.4,Study,5,3.0,106,7.2,8.79,Moderate,Moderate,Yes,Sometimes,Urban,Day Scholar,9,1791,No,Mild,WhatsApp,1.5,4.5,1.1,30,83,Low,2.2,No,No,No,0.0,Single,No,3.9,95,Samsung,Often,Moderate,2.5,No,125,7.3,11.1,No,0.6,62,Yes,Yes
S0244,18,Male,2nd,8.3,Gaming,9,3.4,74,5.8,8.03,Moderate,High,No,Often,Rural,Hostel,3,856,No,Severe,Telegram,2.3,4.8,0.2,122,236,Low,3.9,No,No,No,1.9,Single,No,4.48,87,Samsung,Rarely,Mild,2.1,No,205,5.2,6.2,No,4.5,86,Yes,No
S0245,24,Male,4th,4.5,Study,8,2.3,118,4.4,7.85,Moderate,High,No,Often,Rural,Day Scholar,5,1995,Yes,Severe,WhatsApp,1.3,6.5,1.2,96,70,High,4.1,No,Yes,Yes,1.1,Single,Yes,1.68,72,Xiaomi,Rarely,Moderate,2.2,Yes,363,6.5,6.5,Yes,1.6,66,Yes,No
S0246,23,Female,1st,6.6,Study,9,4.2,12,6.3,5.27,Low,High,No,Never,Urban,Hostel,2,1204,No,None,WhatsApp,1.9,11.3,0.8,41,233,Moderate,9.1,No,Yes,Yes,2.0,Single,Yes,1.29,74,Xiaomi,Often,Mild,2.6,No,383,6.4,8.3,No,5.9,86,No,Yes
S0247,18,Other,4th,7.6,Entertainment,4,3.0,51,6.2,5.7,Moderate,Low,No,Never,Urban,Day Scholar,8,1370,Yes,None,Telegram,1.9,7.7,2.3,57,86,Low,7.7,No,Yes,Yes,3.1,Single,No,1.48,58,Apple,Always,Severe,0.8,No,438,11.3,3.4,No,3.4,91,Yes,Yes
S0248,18,Other,3rd,7.3,Gaming,7,3.7,30,6.1,8.11,Low,Moderate,Yes,Sometimes,Urban,Day Scholar,8,954,No,None,Instagram,1.4,4.7,0.7,68,113,High,9.7,Yes,Yes,No,4.2,Complicated,Yes,1.64,55,Apple,Never,None,2.8,No,117,8.8,7.4,Yes,2.8,32,No,Yes
S0249,18,Female,2nd,6.1,Social Media,9,3.3,108,6.4,6.04,Low,Low,No,Never,Rural,Hostel,6,592,Yes,Severe,Instagram,2.2,5.0,0.8,66,290,Low,6.4,Yes,Yes,No,3.4,Single,No,3.13,77,Samsung,Rarely,Severe,2.4,Yes,371,8.3,6.6,No,-0.0,59,No,Yes
S0250,20,Female,2nd,8.0,Entertainment,9,3.2,114,6.8,7.52,High,Low,Yes,Sometimes,Rural,Day Scholar,8,748,Yes,Mild,Instagram,0.0,3.4,0.6,124,196,Low,3.2,Yes,Yes,Yes,0.9,Complicated,No,4.88,34,Samsung,Rarely,None,3.1,No,412,8.9,4.8,Yes,4.1,96,No,No
S0251,23,Other,1st,4.6,Entertainment,6,3.6,49,6.3,7.72,Moderate,Moderate,Yes,Often,Rural,Hostel,4,1509,Yes,Severe,Facebook,0.9,2.2,1.6,89,173,High,3.9,No,No,Yes,2.6,Complicated,Yes,2.43,20,Other,Often,Severe,2.5,Yes,56,6.3,5.2,No,2.9,92,Yes,Yes
S0252,18,Male,1st,5.5,Social Media,7,3.2,76,5.2,6.42,High,Low,No,Often,Rural,Hostel,5,1698,Yes,Moderate,Snapchat,1.0,3.3,0.8,60,150,High,3.9,Yes,No,Yes,2.1,Complicated,Yes,4.83,28,Samsung,Never,None,3.0,Yes,250,4.5,4.0,No,3.3,52,No,No
S0253,21,Other,2nd,4.7,Entertainment,9,1.8,34,7.0,9.74,High,Low,Yes,Often,Urban,Hostel,8,1091,Yes,None,Instagram,1.1,2.7,0.6,87,168,Low,3.9,No,Yes,No,0.0,Single,No,1.15,42,Xiaomi,Rarely,Severe,1.1,Yes,318,2.7,7.7,No,5.6,95,No,No
S0254,22,Female,4th,7.2,Gaming,5,4.1,118,4.6,9.21,Low,Low,No,Often,Rural,Day Scholar,4,1430,No,None,Facebook,1.7,7.0,1.4,126,134,Low,7.1,No,No,No,2.6,Complicated,No,4.71,71,Xiaomi,Never,Mild,1.4,No,239,8.1,4.4,Yes,4.7,90,Yes,Yes
S0255,18,Male,4th,5.1,Study,3,3.8,111,4.4,8.61,Moderate,Moderate,Yes,Never,Rural,Day Scholar,4,727,Yes,None,Snapchat,1.6,1.8,0.3,126,127,Moderate,5.8,No,Yes,No,4.8,Single,No,1.72,45,Other,Rarely,None,2.2,Yes,420,8.1,6.6,No,5.2,31,Yes,No
S0256,20,Male,3rd,5.7,Gaming,8,0.9,118,7.2,5.39,Low,High,No,Never,Urban,Hostel,7,724,No,Moderate,Instagram,1.7,9.0,1.3,140,251,Moderate,4.5,No,Yes,No,2.0,Complicated,Yes,4.65,79,OnePlus,Never,None,1.2,No,398,5.5,3.6,No,0.0,56,Yes,No
S0257,24,Female,4th,6.9,Social Media,5,2.3,64,7.0,5.53,Low,Moderate,No,Sometimes,Rural,Day Scholar,6,642,No,Mild,WhatsApp,1.8,7.3,1.9,133,230,High,2.3,Yes,No,Yes,0.0,Single,Yes,1.22,37,OnePlus,Never,Mild,2.9,Yes,254,5.7,8.1,Yes,2.6,77,No,No
S0258,23,Female,1st,7.0,Social Media,2,4.0,93,6.4,7.46,Moderate,Moderate,Yes,Sometimes,Rural,Day Scholar,5,106,Yes,Mild,YouTube,1.0,5.1,1.3,40,248,Low,1.2,Yes,Yes,Yes,2.0,In a Relationship,No,4.79,97,Xiaomi,Rarely,Mild,0.6,Yes,325,5.4,5.7,No,0.0,92,No,Yes
S0259,25,Female,1st,4.6,Entertainment,5,1.2,61,5.1,5.8,Low,Moderate,No,Sometimes,Rural,Day Scholar,4,1053,Yes,Mild,Instagram,0.9,5.0,1.3,139,270,High,3.0,Yes,No,Yes,0.2,In a Relationship,No,1.8,77,OnePlus,Never,None,1.8,Yes,259,5.4,7.6,Yes,3.9,34,Yes,Yes
S0260,20,Other,4th,7.6,Gaming,6,3.9,53,5.8,9.89,Moderate,Low,No,Sometimes,Rural,Hostel,2,614,No,None,YouTube,1.7,3.3,1.4,58,240,High,2.0,No,Yes,Yes,3.3,Complicated,Yes,2.21,84,OnePlus,Always,None,1.4,No,86,6.0,5.7,No,0.0,30,No,Yes
S0261,18,Other,1st,6.7,Gaming,6,2.9,118,6.2,5.79,Moderate,High,No,Sometimes,Urban,Hostel,8,1942,Yes,Mild,Instagram,1.2,5.8,1.9,118,153,Low,8.1,No,No,Yes,2.8,In a Relationship,No,2.96,96,Other,Rarely,None,1.3,No,71,7.7,5.1,No,5.1,51,No,Yes
S0262,23,Male,2nd,4.4,Social Media,9,4.3,107,4.9,7.44,Low,Moderate,No,Often,Urban,Day Scholar,7,854,Yes,Severe,WhatsApp,0.7,8.3,1.6,148,239,Moderate,2.0,Yes,Yes,No,1.7,Complicated,Yes,2.52,98,Samsung,Rarely,Moderate,0.6,No,68,9.1,4.0,No,6.1,53,Yes,Yes
S0263,22,Female,2nd,4.0,Gaming,5,3.0,94,5.8,6.82,Low,Moderate,Yes,Often,Urban,Hostel,3,1691,No,None,YouTube,2.0,2.9,1.2,42,121,High,7.5,No,No,Yes,1.5,Complicated,No,3.67,88,Samsung,Always,Severe,2.0,No,247,7.0,7.6,No,2.6,88,No,Yes
S0264,18,Male,4th,6.0,Social Media,6,2.3,65,7.2,8.2,High,High,Yes,Often,Urban,Day Scholar,8,172,No,Moderate,Facebook,2.2,0.4,1.5,80,152,High,4.5,Yes,No,Yes,1.7,Complicated,Yes,4.9,33,OnePlus,Never,Mild,1.9,Yes,198,9.5,5.5,No,3.7,79,No,No
S0265,20,Male,2nd,7.3,Gaming,3,3.3,64,7.9,5.65,Low,High,Yes,Sometimes,Rural,Day Scholar,8,109,No,Moderate,WhatsApp,2.3,7.1,0.6,137,126,Low,1.7,Yes,Yes,No,2.0,In a Relationship,No,3.43,97,Apple,Always,Mild,3.9,Yes,65,11.7,6.4,No,6.1,52,Yes,No
S0266,19,Male,2nd,7.3,Gaming,7,3.0,96,6.1,7.15,Moderate,High,No,Often,Rural,Day Scholar,8,1696,No,Mild,YouTube,1.6,6.0,1.4,83,159,Moderate,8.3,Yes,Yes,Yes,0.8,Complicated,No,3.89,65,Other,Rarely,Severe,4.5,Yes,87,7.8,4.9,Yes,7.2,47,Yes,No
S0267,21,Male,3rd,6.5,Gaming,5,2.2,79,7.3,6.37,High,Low,Yes,Often,Rural,Hostel,7,661,No,None,YouTube,1.8,1.6,0.5,48,68,Moderate,6.2,No,No,Yes,0.0,In a Relationship,No,1.35,88,OnePlus,Always,Mild,0.9,Yes,231,6.9,6.0,No,6.4,51,No,No
